id,name,weightClass,wins,losses,draws,height,weight,reach,strikesLandedPerMin,strikingAccuracy,strikesAbsorbedPerMin,strikeDefense,takedownAvgPer15Min,takedownAccuracy,takedownDefense,submissionAvgPer15Min,avgFightTime,KoTkoPercentage,SubmissionPercentage,DecisionPercentage,StrikesByStanding,StrikesByClinching,StrikesByGround,StrikesToHead,StrikesToBody,StrikesToLegs,image
izabela-badurek,Izabela Badurek,Women's Strawweight Division,5,3,0,64,115.6,65,4.9,71%,175,100,0,13%,0,32,8:34,0%,100%,0%,19%,81%,0%,13%,28%,59%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/864a74ad-0b09-490d-b738-37ca322d64bc%252Fizabela-badurek_522868_LeftFullBodyImage.png?itok=NuyA-mzc
miguel-baeza,Miguel Baeza,Welterweight Division,10,4,0,74,171,74.5,5.92,49%,36,55,1.99,22%,0.9,47,10:22,70%,10%,20%,86%,6%,8%,46%,25%,29%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-04/65831c4a-daca-459b-93c1-89d330a0ba0b%252FBAEZA_MIGUEL_L_04-16.png?itok=j-mDvG5A
ali-bagautinov,Ali Bagautinov,Flyweight Division,14,5,0,65,126,65,3.09,42%,251,65,0.26,37%,0.26,52,16:13,36%,29%,36%,51%,20%,29%,56%,32%,11%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-08/Ali-Bagautinov_335521_LeftFullBodyImage.png?itok=TR8Qmne1
mehdi-baghdad,Mehdi Baghdad,Lightweight Division,11,4,0,73,155.5,75,4.56,31%,0,33,0,0%,0.77,46,9:45,73%,27%,0%,89%,5%,7%,54%,13%,33%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/88c742b6-1fb3-49d8-8690-8dbda57d8b70%252FMehdi-Baghdad_576507_LeftFullBodyImage.png?itok=tVgE2bP_
melsik-baghdasaryan,Melsik Baghdasaryan,Featherweight Division,8,3,0,69,145,70,3.14,60%,0,73,0,0%,0.24,57,10:31,63%,0%,38%,77%,21%,2%,47%,39%,14%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-08/BAGHDASARYAN_MELSIK_L_07-31.png?itok=R-vyloaD
siyar-bahadurzada,Siyar Bahadurzada,Welterweight Division,24,8,1,71,171,72.5,3.23,41%,132,63,0.33,62%,0.83,49,11:20,58%,25%,17%,49%,22%,28%,72%,20%,7%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2019-09/BAHADURZADA_SIYAR_L.png?VersionId=6NZMWBSOprM5vttUb3GN0i7Umrz9B9.U&itok=TgDDBly3
ignacio-bahamondes,Ignacio Bahamondes,Lightweight Division,17,5,0,75,156,75.5,4.36,47%,0,86,0.5,0%,0.84,58,9:55,65%,12%,24%,90%,6%,4%,57%,22%,22%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/BAHAMONDES_IGNACIO_L_09-14.png?itok=JFojVizv
shamar-bailey,Shamar Bailey,Lightweight Division,12,5,0,69,158,,3.91,20%,150,38,0,33%,0,70,12:58,0%,0%,0%,76%,15%,9%,64%,18%,18%,
scott-baker,Scott Baker,,0,0,0,0,0,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
marcin-bandel,Marcin Bandel,Lightweight Division,13,4,0,70,154,70,5.26,50%,0,0,0,0%,0,23,3:48,8%,92%,0%,100%,0%,0%,67%,17%,17%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/e1afa092-1039-42a3-a03e-233875cfe86c%252FMarcin-Bandel_496989_LeftFullBodyImage.png?itok=keBxm_wi
humberto-bandenay,Humberto Bandenay,Featherweight Division,14,7,0,71,146,71.5,4.79,42%,290,63,0.48,46%,0.48,41,7:46,36%,43%,21%,80%,17%,3%,57%,29%,14%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2018-11/BANDENAY_HUMBERTO_L.png?VersionId=zFe8WuuwtbTYr.KRXVakxsLNXli3V0X3&itok=zd60LgUT
tae-hyun-bang,Tae Hyun Bang,Lightweight Division,18,10,0,69,155,71,2.07,38%,49,58,0.49,33%,0.74,66,12:11,50%,0%,50%,83%,6%,11%,85%,10%,5%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/892e26ad-6b0a-4e0d-9419-7f626b0b716a%252FTae-Hyun-Bang_464449_LeftFullBodyImage.png?itok=epArGqGX
shauna-bannon,Shauna Bannon,Women's Strawweight Division,7,1,0,65,116,65,3.88,44%,0,43,0.78,0%,0,44,12:47,29%,14%,57%,95%,5%,0%,45%,36%,20%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/BANNON_SHAUNA_L_03-22.png?itok=X8-Iu9XS
antonio-banuelos,Antonio Banuelos,Bantamweight Division,19,7,0,63,136,,3.15,33%,162,87,0.36,62%,0.45,59,11:56,0%,0%,0%,55%,10%,35%,67%,21%,12%,
renan-barao,Renan Barao,Bantamweight Division,36,9,0,66,146,70,3.9,37%,149,91,0.54,42%,0.24,58,13:14,22%,42%,36%,82%,13%,5%,58%,23%,18%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2018-10/BARAO_RENAN_L.png?VersionId=mXkxLQ23sgEnbww1uAfCtyUXEiNeUWpB&itok=J4vnt-uB
maycee-barber,Maycee Barber,Women's Flyweight Division,14,2,0,65,125,65,2.9,53%,144,54,0.1,44%,0,55,12:10,46%,15%,38%,46%,37%,17%,67%,19%,14%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BARBER_MAYCEE_L_03-09.png?itok=HdPeS6T0
bryan-barberena,Bryan Barberena,Middleweight Division,18,12,0,72,198,72.5,4.59,48%,13,50,0.27,22%,0.4,44,11:43,61%,11%,28%,75%,17%,8%,70%,13%,17%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-07/BARBERENA_BRYAN_L_07-22.png?itok=9BI2M5eN
dione-barbosa,Dione Barbosa,Women's Flyweight Division,7,3,0,66,135,65.5,2.49,49%,173,43,2.17,29%,0,66,11:32,0%,43%,57%,88%,6%,6%,66%,25%,9%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-05/BARBOSA_DIONE_L_05-04.png?itok=zx5-18I8
edson-barboza,Edson Barboza,Featherweight Division,24,12,0,71,145.5,75,4.65,44%,45,73,0.08,50%,0.66,56,12:12,61%,4%,35%,92%,4%,4%,44%,31%,25%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/BARBOZA_EDSON_L_05-18.png?itok=qJyr_Tii
raoni-barcelos,Raoni Barcelos,Bantamweight Division,19,5,0,67.5,135.5,67,4.64,53%,246,82,0.69,37%,0.49,60,12:41,42%,16%,42%,71%,7%,22%,75%,12%,13%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/BARCELOS_RAONI_L_01-18.png?itok=hU_Mll-O
carlos-baretto,Carlos Baretto,Heavyweight Division,0,0,0,0,0,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
daniel-barez,Daniel Barez,Flyweight Division,17,7,0,66,126,66,5.95,50%,193,80,0.64,29%,0.64,50,11:38,41%,35%,24%,92%,4%,5%,52%,29%,19%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/BAREZ_DANIEL_L_03-15.png?itok=PvyvdQ6u
danny-barlow,Danny Barlow,Welterweight Division,9,1,0,74,170.5,79,3.7,51%,0,100,0,0%,0.49,51,7:42,63%,13%,25%,92%,4%,3%,70%,16%,14%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/BARLOW_DANNY_L_03-01.png?itok=7zfeWAiJ
luke-barnatt,Luke Barnatt,Middleweight Division,8,3,0,78,185,77,3.87,36%,63,64,0.42,43%,0.42,59,11:56,38%,38%,25%,81%,15%,4%,69%,21%,10%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/64547f95-1197-4009-9470-27aaea494494%252FLuke-Barnatt_307098_LeftFullBodyImage.png?itok=hANEbTZ3
